cell_lat,cell_lon,n_families,families,country,is_land,nearest_city_km
50.0,-126.0,22,As Ba Be Bi Cr CsRb F Graphite Li Mn NiCo P REE Sb Se Sn Sr TaNb Te U V W,Canada,True,222
52.0,-124.0,20,Ag As Ba Be Bi Cr CsRb Graphite Li NiCo REE Sb Sn Sr TaNb Te V W ZnPb Zr,Canada,True,309
50.0,-128.0,19,As Ba Bi Cr CsRb Graphite Li Mn NiCo P Sb Sn Sr TaNb Te Ti V W Zr,Canada,True,360
20.0,-104.0,17,Ag As Au Be Bi Coal Mo NiCo PGE Sb Se Sn Sr Te V W Zr,Mexico,True,513
52.0,-126.0,16,As Bi Cr CsRb F Li NiCo PGE REE Sb Sn TaNb Ti V W Zr,Canada,True,365
40.0,-124.0,16,Be Coal F Ge Hf In K Li P REE Se Sr TaNb Te U V,United States of America,True,283
54.0,-128.0,13,Ag Au Ba Be Cr F Ga NiCo PGE REE TaNb U Zr,Canada,True,624
52.0,-122.0,13,As Be Bi Cr Graphite Li Sb Sn Sr Te V ZnPb Zr,Canada,True,313
44.0,-120.0,13,Coal CsRb Ga Ge Graphite Hf Li Re Sc Se Tl V Zr,United States of America,True,633
30.0,-108.0,13,Coal Ga In K Li NiCo OilGas PGE REE Sr TaNb Ti Zr,Mexico,True,894
28.0,-114.0,13,As Bi CsRb F Fe Graphite Li OilGas TaNb Ti U V Zr,Mexico,True,784
38.0,14.0,12,Ag Ba Bi Cr Cu F Li Mn NiCo Sb Sr ZnPb,Italy,True,238
36.0,-110.0,12,Be Bi CsRb Ga Hf In Li OilGas REE Sc Sr Tl,United States of America,True,605
18.0,-102.0,12,As Au Bi Coal Cr NiCo Sb Se Sn Sr V Zr,Mexico,True,342
12.0,42.0,12,Ba Be Graphite K Mn NiCo PGE REE Sr TaNb Ti U,Djibouti,True,133
-2.0,-76.0,12,Ag As Bi Cu Graphite Li Mn Mo P Sn W ZnPb,Peru,True,342
56.0,-128.0,11,As Be Cr F Ga Graphite Sn TaNb Te V Zr,Canada,True,816
44.0,-122.0,11,CsRb F Ge K REE Re Sc Se Sr TaNb Tl,United States of America,True,593
40.0,16.0,11,Ba Cr Cu F K Li Mn NiCo Sb V ZnPb,Italy,True,354
34.0,-104.0,11,Coal CsRb Ga Ge Graphite Li OilGas P Se Sr Ti,United States of America,True,644
28.0,-110.0,11,As Be Bi Cr In K Li NiCo OilGas TaNb Zr,Mexico,True,993
24.0,-102.0,11,Be Bi Coal Ge Mn Mo PGE Se Te Ti U,Mexico,True,251
-2.0,34.0,11,Ga K Li Mn P PGE Sr TaNb Ti V Zr,Tanzania,True,302
60.0,-156.0,10,Cr CsRb F Graphite K PGE Sc TaNb U Zr,United States of America,True,2393
60.0,-132.0,10,CsRb Ga Graphite P Sc Sn Sr Tl V Zr,Canada,True,1320
52.0,-120.0,10,As Be Bi Graphite Li Sb Se Sn Sr Te,Canada,True,375
46.0,-120.0,10,Ba Coal CsRb Ge Hf REE Re Se Sr Tl,United States of America,True,433
32.0,-116.0,10,Coal Cr CsRb Ge Hf In REE Re Se Tl,Mexico,True,309
8.0,42.0,10,Be Graphite Mn NiCo PGE REE Sr TaNb Ti U,Ethiopia,True,286
54.0,-126.0,9,Ag Ba F REE TaNb Ti V ZnPb Zr,Canada,True,561
52.0,96.0,9,F Graphite Li Mn REE TaNb Ti V Zr,Russia,True,902
50.0,-124.0,9,Ba Be CsRb F K Li REE Se TaNb,Canada,True,102
46.0,-122.0,9,F Hf REE Re Sc Se Sr Te Tl,United States of America,True,374
36.0,-120.0,9,Ga Hf In REE Re Sc Se TaNb Tl,United States of America,True,270
34.0,-102.0,9,Coal Mn NiCo OilGas PGE REE TaNb Ti Zr,United States of America,True,691
30.0,-112.0,9,Cr CsRb Ga Hf OilGas P Sn Sr Zr,Mexico,True,740
22.0,-104.0,9,Ba Be Bi Coal Fe Mn Mo Sb W,Mexico,True,553
-32.0,-68.0,9,Coal Ge In P Re Sb Sc Se Sr,Argentina,True,295
58.0,-128.0,8,Be CsRb Sb Sc Sn U W ZnPb,Canada,True,1021
54.0,116.0,8,Be Ga Li P PGE TaNb Ti V,Russia,True,927
48.0,-124.0,8,Coal F Hf Li REE Re Se TaNb,United States of America,True,156
44.0,12.0,8,Au Be Bi Ga Ge Mn Mo W,Italy,True,36
44.0,-124.0,8,CsRb F Ge K REE Sc Sr TaNb,United States of America,True,590
42.0,-102.0,8,Coal CsRb Diamond Se Te V ZnPb Zr,United States of America,True,355
42.0,-120.0,8,CsRb Ga Ge Graphite Hf In Re Sc,United States of America,True,511
40.0,24.0,8,As Au Be Bi Mo Re Sb Se,Greece,True,225
40.0,-102.0,8,Coal CsRb Graphite K Se TaNb Te Zr,United States of America,True,256
34.0,-110.0,8,CsRb Ge Hf In OilGas REE Se Zr,United States of America,True,758
32.0,-114.0,8,Coal Ga Ge Hf In REE Se Tl,Mexico,True,456
28.0,-108.0,8,Be Li OilGas Se Sr TaNb Ti U,Mexico,True,803
18.0,-96.0,8,Ag Au Bi F Sb Se Sn Ti,Mexico,True,367
18.0,-92.0,8,Ag Ba Cu Mo Sb Sn W ZnPb,Mexico,True,353
18.0,-100.0,8,As Be Coal Graphite P REE Sr Zr,Mexico,True,185
18.0,-98.0,8,Ag As P Sr Ti W ZnPb Zr,Mexico,True,200
14.0,-84.0,8,As CsRb Graphite Mn Mo Se Te W,Nicaragua,True,320
2.0,-78.0,8,Ag As Cr Cu Li Mn P Ti,Colombia,True,252
58.0,-130.0,7,Cr CsRb Mn Sc Sr TaNb Zr,Canada,True,1070
54.0,118.0,7,F Mn PGE TaNb Ti V ZnPb,Russia,True,1028
48.0,4.0,7,In Mn NiCo P PGE Ti ZnPb,France,True,154
46.0,10.0,7,Ba Bi Graphite K NiCo PGE TaNb,Italy,True,131
46.0,-118.0,7,Coal Ge Hf K Li Sr Tl,United States of America,True,529
44.0,2.0,7,Be K Li NiCo PGE TaNb U,France,True,170
44.0,4.0,7,Be Graphite K Li NiCo TaNb U,France,True,260
44.0,6.0,7,As Be Bi Ge K Li TaNb,France,True,116
44.0,16.0,7,Be Ga Ge Li Sb Ti V,Croatia,True,192
42.0,-124.0,7,F In Li P REE Sr TaNb,United States of America,True,488
42.0,-116.0,7,CsRb Ge Hf In REE Re Sc,United States of America,True,719
42.0,-118.0,7,Coal CsRb Ge Hf In Re Sc,United States of America,True,600
42.0,-114.0,7,CsRb Ga Ge Hf In Re Sc,United States of America,True,798
40.0,-122.0,7,Coal K REE Re Se Sr TaNb,United States of America,True,249
40.0,22.0,7,As Be Bi Mo Re Se ZnPb,Greece,True,227
38.0,24.0,7,Ag Au Cu Sb Sr Te W,Greece,True,24
38.0,-110.0,7,CsRb Hf In Li REE Sc Tl,United States of America,True,475
